epoch,train_total,train_total_raw,train_base,train_unc,train_neg,train_base_norm,train_unc_norm,train_neg_norm,val_total,val_total_raw,val_base,val_unc,val_neg,val_base_norm,val_unc_norm,val_neg_norm,ref_base,ref_unc,ref_neg
32,0.247806,0.229791,0.053492,0.718089,1.110118,0.188620,0.910528,0.037955,0.389409,0.266139,0.093401,0.731590,1.073689,0.329345,0.927648,0.036709,0.283597,0.788651,29.248373
33,0.246263,0.234517,0.051858,0.712755,1.048693,0.182857,0.903765,0.035855,0.408032,0.352386,0.096937,0.716798,1.606590,0.341813,0.908891,0.054929,0.283597,0.788651,29.248373
34,0.252519,0.239417,0.052380,0.711205,0.980376,0.184700,0.901800,0.033519,0.444906,0.418936,0.105598,0.716007,1.880118,0.372354,0.907888,0.064281,0.283597,0.788651,29.248373
35,0.261352,0.260714,0.053464,0.710493,1.026421,0.188521,0.900896,0.035093,0.407088,0.306391,0.094216,0.730702,1.049151,0.332218,0.926521,0.035870,0.283597,0.788651,29.248373
36,0.258473,0.241635,0.051522,0.712224,0.832094,0.181674,0.903091,0.028449,0.405363,0.266040,0.092393,0.746035,0.712279,0.325789,0.945964,0.024353,0.283597,0.788651,29.248373
37,0.266752,0.261950,0.052392,0.713690,0.875851,0.184741,0.904950,0.029945,0.454544,0.476572,0.104058,0.714049,1.834233,0.366923,0.905406,0.062712,0.283597,0.788651,29.248373
38,0.285395,0.321398,0.055997,0.710262,1.119320,0.197452,0.900604,0.038269,0.471387,0.548425,0.106914,0.714135,2.095771,0.376992,0.905514,0.071654,0.283597,0.788651,29.248373
39,0.316505,0.378713,0.063070,0.710864,1.305847,0.222392,0.901367,0.044647,0.423913,0.349325,0.093548,0.727792,0.982296,0.329863,0.922832,0.033585,0.283597,0.788651,29.248373
40,0.310410,0.363851,0.060394,0.705765,1.164400,0.212957,0.894902,0.039811,0.429634,0.380539,0.094150,0.712095,1.075900,0.331985,0.902928,0.036785,0.283597,0.788651,29.248373
41,0.284304,0.279270,0.053822,0.703608,0.775433,0.189785,0.892167,0.026512,0.422810,0.299637,0.092081,0.737757,0.668904,0.324689,0.935468,0.022870,0.283597,0.788651,29.248373
42,0.279773,0.259753,0.052658,0.705246,0.682852,0.185679,0.894244,0.023347,0.417101,0.308515,0.090904,0.722336,0.726888,0.320540,0.915913,0.024852,0.283597,0.788651,29.248373
43,0.269085,0.233629,0.049948,0.702563,0.567123,0.176122,0.890841,0.019390,0.450183,0.372439,0.099840,0.719843,1.003072,0.352049,0.912753,0.034295,0.283597,0.788651,29.248373
44,0.273133,0.248351,0.051064,0.699714,0.636578,0.180057,0.887229,0.021765,0.416772,0.276282,0.091080,0.723607,0.564202,0.321162,0.917525,0.019290,0.283597,0.788651,29.248373
45,0.268227,0.228360,0.049826,0.700530,0.542409,0.175691,0.888263,0.018545,0.415374,0.328562,0.090746,0.707262,0.835452,0.319981,0.896800,0.028564,0.283597,0.788651,29.248373
46,0.275249,0.264901,0.051475,0.700641,0.716811,0.181507,0.888404,0.024508,0.414201,0.278815,0.090134,0.728848,0.578978,0.317825,0.924171,0.019795,0.283597,0.788651,29.248373
47,0.267793,0.198012,0.049859,0.704485,0.388525,0.175808,0.893279,0.013284,0.411668,0.316367,0.089806,0.707196,0.779205,0.316668,0.896716,0.026641,0.283597,0.788651,29.248373
48,0.269199,0.219711,0.050113,0.702654,0.496660,0.176707,0.890956,0.016981,0.428500,0.294971,0.093586,0.742567,0.635642,0.329997,0.941567,0.021733,0.283597,0.788651,29.248373
49,0.274155,0.247452,0.051341,0.700396,0.630356,0.181036,0.888094,0.021552,0.422191,0.309227,0.092005,0.732224,0.719995,0.324423,0.928451,0.024617,0.283597,0.788651,29.248373
50,0.266419,0.228568,0.049319,0.700158,0.546165,0.173905,0.887792,0.018673,0.414317,0.286296,0.090341,0.721854,0.618847,0.318555,0.915302,0.021158,0.283597,0.788651,29.248373
51,0.268248,0.208827,0.050028,0.700388,0.443800,0.176405,0.888084,0.015173,0.438406,0.344287,0.097082,0.710245,0.880902,0.342324,0.900583,0.030118,0.283597,0.788651,29.248373
52,0.267028,0.243315,0.049551,0.694442,0.621599,0.174723,0.880545,0.021252,0.431130,0.290988,0.094649,0.734902,0.614245,0.333746,0.931847,0.021001,0.283597,0.788651,29.248373
53,0.259231,0.202263,0.047634,0.696884,0.424706,0.167963,0.883641,0.014521,0.413873,0.305003,0.090387,0.711776,0.717195,0.318716,0.902523,0.024521,0.283597,0.788651,29.248373
54,0.268271,0.230961,0.049890,0.698348,0.556181,0.175918,0.885497,0.019016,0.419948,0.278770,0.091940,0.724321,0.571987,0.324194,0.918431,0.019556,0.283597,0.788651,29.248373
55,0.258707,0.204876,0.047471,0.696526,0.438765,0.167388,0.883187,0.015001,0.407909,0.274963,0.088890,0.714143,0.573294,0.313437,0.905524,0.019601,0.283597,0.788651,29.248373
56,0.271769,0.237738,0.050778,0.699680,0.584960,0.179050,0.887185,0.020000,0.424498,0.331121,0.093126,0.713133,0.833407,0.328375,0.904245,0.028494,0.283597,0.788651,29.248373
57,0.276862,0.251602,0.052133,0.698758,0.647961,0.183830,0.886017,0.022154,0.412746,0.301808,0.090020,0.713906,0.701988,0.317423,0.905224,0.024001,0.283597,0.788651,29.248373
58,0.284504,0.255377,0.054184,0.701609,0.655159,0.191061,0.889631,0.022400,0.410071,0.267622,0.089446,0.717961,0.531900,0.315397,0.910366,0.018186,0.283597,0.788651,29.248373
59,0.265611,0.203063,0.049418,0.697872,0.419287,0.174254,0.884894,0.014335,0.412733,0.289667,0.090306,0.709077,0.642264,0.318431,0.899101,0.021959,0.283597,0.788651,29.248373
60,0.263699,0.215694,0.048759,0.697541,0.485907,0.171929,0.884474,0.016613,0.421011,0.279603,0.092443,0.718471,0.576564,0.325967,0.911012,0.019713,0.283597,0.788651,29.248373
61,0.263229,0.216191,0.048683,0.695743,0.489668,0.171662,0.882194,0.016742,0.409477,0.252624,0.089432,0.717689,0.457117,0.315349,0.910021,0.015629,0.283597,0.788651,29.248373
62,0.271229,0.223324,0.050891,0.696114,0.514108,0.179447,0.882664,0.017577,0.581469,0.680323,0.135193,0.698012,2.376643,0.476710,0.885070,0.081257,0.283597,0.788651,29.248373
63,0.310023,0.322164,0.061104,0.694082,0.958257,0.215462,0.880087,0.032763,0.436180,0.368503,0.096425,0.704085,1.008345,0.340007,0.892772,0.034475,0.283597,0.788651,29.248373
64,0.277363,0.248591,0.052407,0.695897,0.632969,0.184796,0.882388,0.021641,0.414436,0.256124,0.090482,0.727204,0.464610,0.319051,0.922085,0.015885,0.283597,0.788651,29.248373
65,0.271014,0.216465,0.050894,0.696188,0.479761,0.179458,0.882757,0.016403,0.431514,0.352754,0.095305,0.702330,0.936081,0.336059,0.890546,0.032005,0.283597,0.788651,29.248373
66,0.269682,0.216995,0.050568,0.694466,0.484902,0.178309,0.880575,0.016579,0.424570,0.289110,0.093584,0.712406,0.621430,0.329989,0.903322,0.021247,0.283597,0.788651,29.248373
67,0.285070,0.280582,0.054213,0.698408,0.782643,0.191161,0.885573,0.026759,0.457648,0.311544,0.102479,0.722531,0.684059,0.361355,0.916160,0.023388,0.283597,0.788651,29.248373
68,0.290567,0.272798,0.055875,0.698077,0.735579,0.197022,0.885153,0.025149,0.427031,0.314010,0.094117,0.710349,0.744290,0.331870,0.900714,0.025447,0.283597,0.788651,29.248373
69,0.288057,0.257900,0.055176,0.701652,0.662795,0.194556,0.889686,0.022661,0.434392,0.316545,0.096039,0.714915,0.745072,0.338647,0.906504,0.025474,0.283597,0.788651,29.248373
70,0.287535,0.257252,0.055196,0.697006,0.661773,0.194630,0.883795,0.022626,0.546888,0.523073,0.126644,0.703266,1.630510,0.446565,0.891732,0.055747,0.283597,0.788651,29.248373
71,0.278116,0.235401,0.052727,0.696630,0.565057,0.185921,0.883319,0.019319,0.430349,0.309945,0.094843,0.717821,0.716598,0.334430,0.910188,0.024500,0.283597,0.788651,29.248373
72,0.272164,0.226294,0.051174,0.694836,0.528181,0.180448,0.881044,0.018058,0.428745,0.338168,0.094522,0.706094,0.865185,0.333297,0.895319,0.029581,0.283597,0.788651,29.248373
73,0.272841,0.224446,0.051279,0.697869,0.516897,0.180817,0.884890,0.017673,0.449674,0.356841,0.099540,0.728524,0.922243,0.350991,0.923760,0.031531,0.283597,0.788651,29.248373
74,0.319771,0.330505,0.063747,0.695996,0.985795,0.224779,0.882514,0.033704,0.650821,0.765734,0.154878,0.679329,2.714616,0.546120,0.861381,0.092813,0.283597,0.788651,29.248373
75,0.300771,0.286277,0.058798,0.694317,0.790238,0.207329,0.880385,0.027018,0.446047,0.332344,0.099741,0.700228,0.812900,0.351701,0.887881,0.027793,0.283597,0.788651,29.248373
76,0.287333,0.259338,0.055210,0.694414,0.673433,0.194677,0.880508,0.023025,0.438072,0.320966,0.097057,0.714715,0.762190,0.342235,0.906250,0.026059,0.283597,0.788651,29.248373
77,0.286382,0.271493,0.054608,0.700374,0.734238,0.192555,0.888066,0.025104,0.494039,0.464248,0.112031,0.704822,1.408676,0.395036,0.893706,0.048163,0.283597,0.788651,29.248373
78,0.273307,0.230277,0.051347,0.698123,0.545593,0.181055,0.885212,0.018654,0.424924,0.317788,0.093810,0.700923,0.769427,0.330786,0.888762,0.026307,0.283597,0.788651,29.248373
79,0.264091,0.207641,0.049066,0.694247,0.445750,0.173013,0.880297,0.015240,0.415958,0.254276,0.090917,0.727722,0.452933,0.320586,0.922742,0.015486,0.283597,0.788651,29.248373
80,0.256486,0.183387,0.047191,0.692391,0.334783,0.166402,0.877943,0.011446,0.402838,0.238452,0.087805,0.713855,0.396306,0.309613,0.905160,0.013550,0.283597,0.788651,29.248373
81,0.261177,0.194752,0.048399,0.693086,0.385225,0.170661,0.878824,0.013171,0.412484,0.273619,0.090472,0.706792,0.562336,0.319018,0.896204,0.019226,0.283597,0.788651,29.248373
82,0.296200,0.291071,0.057533,0.691731,0.821821,0.202870,0.877106,0.028098,0.619911,0.634149,0.146301,0.708003,2.085238,0.515878,0.897739,0.071294,0.283597,0.788651,29.248373
83,0.283804,0.222351,0.054613,0.692954,0.492213,0.192573,0.878657,0.016829,0.413650,0.261461,0.090661,0.714278,0.496860,0.319683,0.905696,0.016988,0.283597,0.788651,29.248373
84,0.271774,0.222266,0.051181,0.692607,0.509122,0.180471,0.878218,0.017407,0.591263,0.597698,0.139131,0.688848,1.948412,0.490594,0.873451,0.066616,0.283597,0.788651,29.248373
85,0.269912,0.223564,0.050576,0.694290,0.517797,0.178336,0.880351,0.017703,0.426007,0.347606,0.094002,0.695989,0.920021,0.331465,0.882506,0.031455,0.283597,0.788651,29.248373
86,0.267270,0.203232,0.049932,0.696721,0.418138,0.176068,0.883434,0.014296,0.451357,0.365538,0.100717,0.706435,0.970887,0.355143,0.895752,0.033195,0.283597,0.788651,29.248373
87,0.237603,0.265588,0.039682,0.729087,0.764983,0.139925,0.924474,0.026155,0.274162,0.259284,0.049046,0.762128,0.670126,0.172942,0.966369,0.022912,0.283597,0.788651,29.248373
88,0.145897,0.163287,0.012753,0.776322,0.364509,0.044967,0.984366,0.012463,0.200149,0.254264,0.026807,0.793063,0.740752,0.094524,1.005594,0.025326,0.283597,0.788651,29.248373
89,0.125091,0.167587,0.006542,0.782288,0.414081,0.023067,0.991931,0.014157,0.161378,0.191296,0.016352,0.792174,0.478637,0.057658,1.004467,0.016365,0.283597,0.788651,29.248373
90,0.133979,0.163250,0.008976,0.786617,0.378058,0.031652,0.997420,0.012926,0.153319,0.201161,0.014171,0.785842,0.542031,0.049969,0.996438,0.018532,0.283597,0.788651,29.248373
91,0.123555,0.147582,0.006204,0.784930,0.314426,0.021877,0.995282,0.010750,0.161048,0.210738,0.016241,0.787231,0.578868,0.057270,0.998200,0.019791,0.283597,0.788651,29.248373
92,0.124430,0.148858,0.006467,0.784226,0.319843,0.022804,0.994389,0.010935,0.159961,0.207048,0.015861,0.790228,0.560822,0.055926,1.002000,0.019174,0.283597,0.788651,29.248373
93,0.126097,0.156571,0.006888,0.783685,0.356572,0.024288,0.993703,0.012191,0.176318,0.251939,0.020298,0.784759,0.765825,0.071575,0.995065,0.026183,0.283597,0.788651,29.248373
94,0.119413,0.139875,0.005162,0.783000,0.282066,0.018201,0.992834,0.009644,0.153447,0.172295,0.014081,0.797418,0.392361,0.049652,1.011117,0.013415,0.283597,0.788651,29.248373
95,0.115785,0.137455,0.004115,0.783878,0.274761,0.014512,0.993948,0.009394,0.147042,0.190744,0.012320,0.790238,0.497003,0.043442,1.002012,0.016993,0.283597,0.788651,29.248373
96,0.118257,0.142994,0.004761,0.784097,0.299115,0.016789,0.994225,0.010227,0.160044,0.219135,0.015937,0.785374,0.623302,0.056197,0.995844,0.021311,0.283597,0.788651,29.248373
97,0.116689,0.138523,0.004357,0.784072,0.278795,0.015364,0.994194,0.009532,0.159258,0.195022,0.015589,0.795541,0.499394,0.054969,1.008736,0.017074,0.283597,0.788651,29.248373
98,0.131691,0.185595,0.008227,0.783104,0.495291,0.029008,0.992966,0.016934,0.163894,0.214462,0.016966,0.788753,0.593102,0.059825,1.000130,0.020278,0.283597,0.788651,29.248373
99,0.124410,0.160074,0.006391,0.783107,0.376861,0.022536,0.992971,0.012885,0.187942,0.183938,0.023456,0.808460,0.398183,0.082707,1.025118,0.013614,0.283597,0.788651,29.248373
100,0.116006,0.132203,0.004217,0.784254,0.247802,0.014869,0.994425,0.008472,0.167392,0.244735,0.017986,0.779867,0.743814,0.063420,0.988861,0.025431,0.283597,0.788651,29.248373
101,0.127192,0.163998,0.007157,0.782907,0.392752,0.025235,0.992716,0.013428,0.165409,0.189352,0.017494,0.793061,0.462762,0.061686,1.005591,0.015822,0.283597,0.788651,29.248373
102,0.119409,0.144412,0.005108,0.783216,0.304912,0.018013,0.993109,0.010425,0.147494,0.157576,0.012605,0.795016,0.327344,0.044448,1.008070,0.011192,0.283597,0.788651,29.248373
103,0.124721,0.157925,0.006552,0.781677,0.366030,0.023102,0.991157,0.012515,0.152644,0.168711,0.013925,0.796324,0.375768,0.049102,1.009729,0.012847,0.283597,0.788651,29.248373
104,0.133163,0.165469,0.008816,0.783925,0.391302,0.031087,0.994007,0.013379,0.159857,0.177242,0.015730,0.801344,0.406890,0.055465,1.016095,0.013912,0.283597,0.788651,29.248373
105,0.167649,0.251400,0.017854,0.783817,0.775822,0.062957,0.993871,0.026525,0.185296,0.172970,0.022081,0.828954,0.339969,0.077861,1.051104,0.011624,0.283597,0.788651,29.248373
106,0.128320,0.152156,0.007433,0.787499,0.329864,0.026210,0.998540,0.011278,0.159965,0.191545,0.015617,0.801433,0.478921,0.055069,1.016207,0.016374,0.283597,0.788651,29.248373
107,0.119597,0.132737,0.005123,0.787555,0.244293,0.018066,0.998611,0.008352,0.189993,0.203437,0.024096,0.801558,0.495926,0.084965,1.016366,0.016956,0.283597,0.788651,29.248373
108,0.144190,0.190165,0.011743,0.783611,0.500305,0.041408,0.993610,0.017105,0.177269,0.228947,0.020676,0.788166,0.647273,0.072905,0.999384,0.022130,0.283597,0.788651,29.248373
109,0.134942,0.142111,0.009447,0.786971,0.269834,0.033310,0.997870,0.009226,0.150675,0.189795,0.013533,0.785628,0.488500,0.047718,0.996167,0.016702,0.283597,0.788651,29.248373
110,0.130997,0.154303,0.008298,0.784119,0.337967,0.029260,0.994253,0.011555,0.145354,0.187164,0.011964,0.787638,0.482185,0.042185,0.998716,0.016486,0.283597,0.788651,29.248373
111,0.117586,0.131817,0.004641,0.785176,0.243293,0.016363,0.995594,0.008318,0.155290,0.163494,0.014500,0.802952,0.343494,0.051128,1.018134,0.011744,0.283597,0.788651,29.248373
112,0.126671,0.149898,0.007089,0.784494,0.321796,0.024998,0.994729,0.011002,0.194401,0.259449,0.025520,0.781467,0.778913,0.089986,0.990890,0.026631,0.283597,0.788651,29.248373
113,0.132087,0.155621,0.008585,0.784478,0.342941,0.030271,0.994709,0.011725,0.181203,0.212968,0.021256,0.808049,0.554534,0.074952,1.024597,0.018959,0.283597,0.788651,29.248373
114,0.133353,0.170028,0.008832,0.783756,0.414105,0.031142,0.993793,0.014158,0.162322,0.212614,0.016457,0.790932,0.585321,0.058030,1.002892,0.020012,0.283597,0.788651,29.248373
115,0.124852,0.135986,0.006677,0.785266,0.253909,0.023545,0.995708,0.008681,0.167648,0.235627,0.017757,0.790946,0.693877,0.062613,1.002910,0.023724,0.283597,0.788651,29.248373
116,0.118511,0.138139,0.004893,0.783779,0.274341,0.017252,0.993823,0.009380,0.151085,0.179416,0.013520,0.792174,0.433389,0.047675,1.004467,0.014818,0.283597,0.788651,29.248373
117,0.121921,0.141702,0.005754,0.786041,0.286717,0.020291,0.996690,0.009803,0.164553,0.168047,0.017125,0.802470,0.353373,0.060385,1.017522,0.012082,0.283597,0.788651,29.248373
118,0.130290,0.168950,0.008000,0.782781,0.413363,0.028208,0.992557,0.014133,0.251592,0.326164,0.040875,0.791935,1.030478,0.144130,1.004164,0.035232,0.283597,0.788651,29.248373
119,0.130984,0.161228,0.008279,0.782639,0.373424,0.029193,0.992377,0.012767,0.265385,0.350154,0.044875,0.783844,1.134469,0.158237,0.993905,0.038787,0.283597,0.788651,29.248373
120,0.134092,0.164469,0.009121,0.783091,0.385195,0.032163,0.992950,0.013170,0.209987,0.271438,0.029859,0.781661,0.817065,0.105286,0.991136,0.027935,0.283597,0.788651,29.248373
121,0.150155,0.190768,0.013477,0.782717,0.495097,0.047522,0.992475,0.016927,0.188888,0.266365,0.023906,0.780526,0.822029,0.084297,0.989698,0.028105,0.283597,0.788651,29.248373
122,0.137319,0.177439,0.009962,0.781864,0.446453,0.035127,0.991394,0.015264,0.169583,0.191291,0.018381,0.801251,0.463927,0.064813,1.015977,0.015862,0.283597,0.788651,29.248373
123,0.141630,0.178719,0.011176,0.782098,0.446671,0.039406,0.991691,0.015272,0.174779,0.223740,0.019913,0.791000,0.623632,0.070217,1.002978,0.021322,0.283597,0.788651,29.248373
